n,geo,approach,name,keys,audience,angle,hook,hookRu,format,bridgeArticle,potential,potentialWhy,risk,metaFlag
1,DE,клон доказанного (шаблон «кредит пенсионеру» платит в 6 странах; крео — перевод победителей HU/ES/LT),кредиты · DE · угол «пенсия 60+»,Kredit für Rentner | Kredit mit Rente | Rentner Kredit | Kredit als Rentner,"пенсионеры 60–80 (в крео: фото 70+, «Rente»); таргет Meta 18–65+ — возраст настройкой не выбрать",До какого возраста в Германии реально дают кредит и сколько можно взять с пенсией в 2026,Mit 72 noch einen Kredit? Was Banken bei Rentnern wirklich prüfen – und was kaum jemand weiß.,В 72 ещё кредит? Что банки на самом деле проверяют у пенсионеров — и о чём почти никто не знает.,статика FB 1:1/4:5 (как доказанные HU/LT) + видео UGC 9:16 для TT,Kredit für Rentner 2026: Wie viel kann man mit Rente leihen? (черновик DE-rentnerkredit),высокий,"донор LT «Paskolos Vyresniems Nei 60» $0.297 на 211 кл.; немецкая статья-шаблон AT $0.372 (334 кл.), CH-de $2.43 (6 кл., 22–23.09); Planner 1 900/мес, +19%","немецкая AT-статья за 22–23.09 дала $0.196 на 8 кл. — выплата есть, но DE-клик исторически дорогой ($0.23–0.57)",
2,DE,"клон доказанного (тот же шаблон, другое обещание)",кредиты · DE · угол «пенсия и дорогая покупка»,Kredit mit Rente | Ratenkredit | Kleinkredit | Kredit für Rentner,"пенсионеры 63–78, которым нужна разовая крупная трата (зубы, слуховой аппарат, машина)","Как пенсионеру оплатить зубной протез или слуховой аппарат, если сбережений не хватает: кредит, рассрочка или касса","Neue Zähne für 6.000 €, aber nur 1.400 € Rente? So finanzieren Rentner 2026 den Zahnersatz – ohne das Sparbuch zu plündern.","Новые зубы за 6 000 €, а пенсия 1 400 €? Как пенсионеры в 2026 оплачивают протезы — не опустошая сберкнижку.",видео UGC 9:16 (бабушка у зеркала говорит в камеру) TT + FB,"Zahnersatz mit Rente finanzieren: Ratenkredit, Kasse oder Zahnarzt-Raten?",средний,"тот же донор 60+ ($0.297); «Ratenkredit» 4 400/мес, «Kleinkredit» 9 900/мес; класса нет","суммы на крео (6 000 € / 1 400 €) — цифры, при отклонении убрать первыми",
3,DE,"вариация связки коллег (DE savingsbuild, бид 0.7, крутят с мая) без бренда",кредиты · DE · угол «мини-кредит в телефоне»,Minikredit sofort | Kredit mit Sofortauszahlung | Online Kredit sofort | Ich Brauche Sofort Geld,"25–45, платят телефоном, нужна небольшая сумма","Как сейчас берут небольшую сумму прямо в телефоне: сам выбираешь сумму и срок, без визита в банк","Brauchen Sie Geld – aber keinen Banktermin? Betrag wählen, Laufzeit wählen: So funktionieren Mini-Kredite per App wirklich.","Нужны деньги, но не визит в банк? Выбрал сумму, выбрал срок: вот как на самом деле работают мини-кредиты в приложении.",видео UGC 9:16 (человек в трамвае с телефоном) TT + FB,Digitale Kleinkredite 2026: Wie Mini-Kredite per App funktionieren (статья A из de_loans_5angles),высокий,"донор HU «Gyorskölcsön Azonnal» $0.459; «Ich Brauche Sofort Geld» — класс «высокий» у других; Planner «minikredit sofort» 4 400/мес, +23%",без бренда клик может упасть; срок займа в статье не делать ≤90 дней,Meta: займы ≤90 дней запрещены — срок не обещать
4,DE,гипотеза (ключи с классом «высокий» у других; своей выплаты нет) — VISYMO,кредиты · DE · угол «кредитка на 5 000»,Kreditkarte mit Ratenzahlung 5.000 Euro | Online Kreditkarte Sofort | Beste Kreditkarte mit Ratenzahlung | Kreditkarte mit 5000 Verfügungsrahmen,"25–55, работают, нужен запас на карте (отпуск, машина)",Кому в Германии дают кредитку с лимитом 5 000 € и почему у двоих с одной картой лимит отличается в 10 раз,"Gleiche Bank, gleiche Karte: Er bekommt 500 € Limit, sie 5.000 €. Woran liegt das?","Тот же банк, та же карта: ему лимит 500 €, ей 5 000 €. В чём дело?",статика FB 4:5 + карусель «3 карты — 3 лимита»,Kreditkarte mit 5.000 € Limit: Wer sie bekommt und worauf Banken achten (черновик DE-kreditkarte-limit),высокий,"3 ключа — класс «высокий», 1 — «средний» (другие команды, DE); по словам владельца, в CH-связке коллег с этими ключами выплата ~$6 за клик","нашей выплаты по картам нет ни в одном гео; эти ключи — длинный хвост, Planner объёма не показывает",
5,DE,гипотеза (ключ класса «высокий» у других),кредиты · DE · угол «бесплатная кредитка — где подвох»,Kostenlose Kreditkarte | Kostenlose Kreditkarte Beantragen | Kreditkarte mit Ratenzahlung,"22–45, выбирают первую/новую кредитку",Почему «бесплатная» кредитка может стоить сотни евро в год: мелкий шрифт про рассрочку,Kostenlose Kreditkarte – und trotzdem 180 € Zinsen im Jahr? Der Haken steht im Kleingedruckten.,Бесплатная кредитка — и всё равно 180 € процентов в год? Подвох — в мелком шрифте.,видео UGC 9:16 (девушка разворачивает длинный чек) TT,Kostenlose Kreditkarte 2026: Wo die versteckten Kosten stecken,высокий,"«Kostenlose Kreditkarte Beantragen» — «высокий» (другие); Planner «kostenlose kreditkarte» 14 800/мес, «kreditkarte kostenlos» 22 200/мес","«kostenlos» на крео — Google RAF «Free or cash offers»; подача как разоблачение, при отклонении убрать слово",
6,DE,гипотеза — VISYMO (узнать выплату по ключам),кредиты · DE · угол «три рассрочки в одну» (Umschuldung),Kredit umschulden | Kredit für Umschuldung | Umschuldungskredit | Kredit für Verschuldete,"30–55, 2–4 кредита/рассрочки + овердрафт","Когда свести несколько рассрочек и овердрафт в одну плату реально дешевле, а когда нет","3 Raten, 3 Abbuchungstermine und dazu der Dispo? So zahlen viele Deutsche jeden Monat drauf – ohne es zu merken.","Три рассрочки, три даты списания, плюс овердрафт? Так многие немцы каждый месяц переплачивают — и не замечают.",видео UGC 9:16 (мужчина раскладывает 3 письма из банков) TT + статика FB,Kredite umschulden 2026: Wann sich eine Umschuldung wirklich lohnt,высокий,"«Kredit für Verschuldete» — «высокий» (другие); Planner «kredit umschulden» 6 600, «kredit für umschuldung» 6 600, «umschuldung» 3 600",долги — зона Personal hardship у Meta; своей выплаты нет,"Meta: Personal hardship — без «Schulden», «pleite»"
7,DE,угол первым,кредиты · DE · угол «Dispo съедает зарплату»,Dispokredit | Rahmenkredit | Kredit umschulden | Sparkasse Dispo erhöhen,"25–55, живут в минусе по счёту",Почему овердрафт — самый дорогой способ занять и чем его закрывают,Seit Monaten im Minus? Der Dispo ist oft teurer als jeder Ratenkredit – so rechnen Sie es in 2 Minuten nach.,Месяцами в минусе? Овердрафт часто дороже любого кредита в рассрочку — посчитайте за 2 минуты.,карусель FB «Dispo vs Ratenkredit vs Rahmenkredit» + видео TT,Dispo ablösen 2026: Rahmenkredit oder Ratenkredit – was ist günstiger?,средний,"паттерн «калькулятор» — наш самый дорогой (HU/PT $0.39–0.46); Planner «dispokredit» 5 400, «rahmenkredit» 2 400; класса нет",аудитория в минусе — Personal hardship у Meta,Meta: Personal hardship
8,DE,угол первым (самый большой объём в DE-кредитах),кредиты · DE · угол «кредит без SCHUFA — правда»,Kredit ohne Schufa | Sofortkredit ohne Schufa | Kleinkredit ohne Schufa | Kredit ohne Bonitätsprüfung,"25–55, плохая или пустая кредитная история","Кредит без SCHUFA: кто его реально выдаёт, откуда он берётся и чем за него платят",Kredit ohne Schufa – gibt es das wirklich? Welche Banken nicht bei der Schufa nachfragen und was es am Ende kostet.,Кредит без SCHUFA — это вообще бывает? Какие банки не запрашивают SCHUFA и сколько это стоит в итоге.,видео UGC 9:16 (разговор «на кухне» двух друзей) TT,"Kredit ohne Schufa 2026: Anbieter, Kosten, Risiken",средний,Planner «kredit ohne schufa» 49 500/мес — самый большой DE-кредитный ключ; донор паттерна RO «…Doar Cu Buletinul» $0.210; класса нет,"выплата неизвестна, а трафик «без проверки» часто дешёвый и нецелевой",Meta: высокий риск — обещание «без проверки»; только вопросом
9,DE,угол первым,кредиты · DE · угол «Beamte платят меньше»,Beamtenkredit | Kredit für Beamte | Kredit öffentlicher Dienst,"25–60, госслужащие, учителя, полиция",Почему банки дают госслужащим кредит дешевле и как этим пользоваться,"Lehrer, Polizisten, Beamte: Warum Banken Ihnen günstigere Kredite geben – und kaum jemand danach fragt.","Учителя, полицейские, госслужащие: почему банки дают вам кредиты дешевле — и почти никто об этом не спрашивает.",статика FB (учительница у доски) + видео TT,"Beamtenkredit 2026: Konditionen, Vorteile, Voraussetzungen",средний,"Planner «beamtenkredit» 1 600, «kredit für beamte» 880 (+22%); донор паттерна «кредит для группы» LT $0.297; класса нет",узкая аудитория — объём кликов может не набраться,
10,DE,угол первым (тренд),кредиты · DE · угол «студент — кредит без зарплаты»,Kredit für Studenten | Kredit für Azubis | Kredit in der Probezeit,"18–27, студенты и Azubi, первая работа",Можно ли студенту или ученику получить кредит без постоянного дохода — 3 законных пути,"Student, kein festes Einkommen – bekommt man trotzdem einen Kredit? 3 Wege, die Banken selten erwähnen.","Студент без постоянного дохода — дадут ли кредит? 3 пути, о которых банки редко говорят.",видео UGC 9:16 (студент в общежитии) TT,Kredit für Studenten und Azubis 2026: Was möglich ist,средний,"Planner «kredit für studenten» 2 900/мес, +175% за месяц; донор PL «Pierwszy Kredyt» — «средний» (другие)","молодая аудитория кликает дёшево, но выплата по студенческим ключам может быть низкой",
